synthetic_log,fitness,hellinger_distance_event_distribution,earth_mover_distance_length_distribution,earth_mover_distance_trace_variant
real,0.915399403542503,0.0,0.0,0.0
no_petri_net_run1,0.91601990049753,0.08817312453383318,0.17989464442493422,0.0001755926251097454
no_petri_net_run2,0.9177287930097598,0.0900874490574315,0.14653204565408245,0.0001755926251097454
no_petri_net_run3,0.917072724612249,0.08641263336592674,0.1586479367866548,0.0001755926251097454
no_petri_net_run4,0.9180946109787378,0.09019187698658418,0.14073748902546082,0.0001755926251097454
no_petri_net_run5,0.917472929470312,0.08714041359904616,0.10939420544337125,0.0001316944688323091
transition_list_run1,0.9907960199004939,0.2870908140638161,0.7983318700614574,0.0001755926251097454
transition_list_run2,0.9912935323383043,0.2869370596476602,0.7933274802458297,0.0001755926251097454
transition_list_run3,0.9910111208662525,0.28747349878247064,0.8009657594381034,0.0001755926251097454
transition_list_run4,0.9903219198126962,0.2879862901367183,0.79297629499561,0.0001755926251097454
transition_list_run5,0.9910579455662812,0.2862540839410721,0.7999122036874451,0.0001755926251097454
petrinet_playout_run1,1.0,0.2918908980454786,0.75513608428446,0.0001755926251097454
petrinet_playout_run2,1.0,0.29230434210685696,0.7158033362598769,8.77963125548727e-05
petrinet_playout_run3,1.0,0.291721807587478,0.7564530289727831,0.0001755926251097454
petrinet_playout_run4,1.0,0.2904350373204674,0.7597014925373133,0.0001755926251097454
petrinet_playout_run5,1.0,0.2920539188864163,0.7501316944688323,0.0001755926251097454
