value,percentage
-0.2,0.003492575224697147
-0.1,0.1318263970300899
0.0,0.4247020320437671
0.1,0.1333650840171942
0.2,0.003199491989058226
0.3,1.2211801484955061e-05
17.3,1.2211801484955061e-05
18.1,1.2211801484955061e-05
18.2,1.2211801484955061e-05
18.3,3.663540445486518e-05
18.5,1.2211801484955061e-05
18.6,1.2211801484955061e-05
18.7,2.4423602969910123e-05
18.8,4.8847205939820246e-05
18.9,7.327080890973036e-05
19.0,7.327080890973036e-05
19.1,4.8847205939820246e-05
19.2,1.2211801484955061e-05
19.3,8.548261039468542e-05
19.4,7.327080890973036e-05
19.5,9.769441187964049e-05
19.6,0.00010990621336459555
19.7,9.769441187964049e-05
19.8,6.10590074247753e-05
19.9,0.0001587534193044158
20.0,0.0001587534193044158
20.1,0.00019538882375928098
20.2,0.0001587534193044158
20.3,0.0002442360296991012
20.4,0.00019538882375928098
20.5,0.00026865963266901134
20.6,0.0002442360296991012
20.7,0.00020760062524423603
20.8,0.0003663540445486518
20.9,0.00030529503712387653
21.0,0.0003297186400937866
21.1,0.00030529503712387653
21.2,0.00041520125048847206
21.3,0.00034193044157874167
21.4,0.0003297186400937866
21.5,0.0003175068386088316
21.6,0.0004640484564282923
21.7,0.0003663540445486518
21.8,0.00030529503712387653
21.9,0.0004396248534583822
22.0,0.0005739546697928878
22.1,0.00039077764751856197
22.2,0.0005006838608831574
22.3,0.0004274130519734271
22.4,0.0006105900742477531
22.5,0.0007449198905822587
22.6,0.0005373192653380227
22.7,0.0005373192653380227
22.8,0.0008426143024618992
22.9,0.0005006838608831574
23.0,0.0008304025009769441
23.1,0.0005617428683079328
23.2,0.0007082844861273935
23.3,0.0005861664712778429
23.4,0.00045183665494333725
23.5,0.0004884720593982024
23.6,0.0004884720593982024
23.7,0.0005617428683079328
23.8,0.0005739546697928878
23.9,0.0004274130519734271
24.0,0.00035414224306369677
24.1,0.00037856584603360686
24.2,0.0005128956623681126
24.3,0.0003175068386088316
24.4,0.0004274130519734271
24.5,0.0003297186400937866
24.6,0.0003175068386088316
24.7,0.0003175068386088316
24.8,0.00037856584603360686
24.9,0.00037856584603360686
25.0,0.00026865963266901134
25.1,0.00020760062524423603
25.2,0.0002198124267291911
25.3,0.0002564478311840563
25.4,0.0002198124267291911
25.5,0.00014654161781946072
25.6,0.00020760062524423603
25.7,7.327080890973036e-05
25.8,0.00019538882375928098
25.9,9.769441187964049e-05
26.0,0.0001587534193044158
26.1,9.769441187964049e-05
26.2,0.00010990621336459555
26.3,0.00013432981633450567
26.4,8.548261039468542e-05
26.5,3.663540445486518e-05
26.6,8.548261039468542e-05
26.7,6.10590074247753e-05
26.8,4.8847205939820246e-05
26.9,8.548261039468542e-05
27.0,8.548261039468542e-05
27.1,9.769441187964049e-05
27.2,6.10590074247753e-05
27.3,4.8847205939820246e-05
27.4,8.548261039468542e-05
27.5,9.769441187964049e-05
27.6,8.548261039468542e-05
27.7,6.10590074247753e-05
27.8,0.00010990621336459555
27.9,4.8847205939820246e-05
28.0,0.00010990621336459555
28.1,8.548261039468542e-05
28.2,0.00013432981633450567
28.3,8.548261039468542e-05
28.4,7.327080890973036e-05
28.5,0.00014654161781946072
28.6,8.548261039468542e-05
28.7,0.00014654161781946072
28.8,0.00017096522078937084
28.9,0.0001831770222743259
29.0,0.0002442360296991012
29.1,0.0002198124267291911
29.2,0.00020760062524423603
29.3,0.0002808714341539664
29.4,0.0002442360296991012
29.5,0.00030529503712387653
29.6,0.0002564478311840563
29.7,0.00030529503712387653
29.8,0.00037856584603360686
29.9,0.00041520125048847206
30.0,0.00039077764751856197
30.1,0.0004396248534583822
30.2,0.0006105900742477531
30.3,0.0006594372801875733
30.4,0.0008670379054318093
30.5,0.0007693434935521688
30.6,0.000598378272762798
30.7,0.000793767096522079
30.8,0.0006472254787026182
30.9,0.0008792497069167644
31.0,0.0007449198905822587
31.1,0.0009158851113716295
31.2,0.0010624267291910903
31.3,0.001208968347010551
31.4,0.0010990621336459555
31.5,0.0012456037514654162
31.6,0.0011845447440406408
31.7,0.0011112739351309105
31.8,0.0012211801484955061
31.9,0.0012822391559202814
32.0,0.0014898397811645174
32.1,0.0014409925752246972
32.2,0.001624169597499023
32.3,0.0012700273544353263
32.4,0.0014898397811645174
32.5,0.0019905236420476747
32.6,0.0018439820242282141
32.7,0.0017096522078937084
32.8,0.0017462876123485736
32.9,0.0020027354435326297
33.0,0.0020882180539273155
33.1,0.0020027354435326297
33.2,0.002185912465806956
33.3,0.002185912465806956
33.4,0.0023080304806565063
33.5,0.0023324540836264164
33.6,0.002808714341539664
33.7,0.0024667838999609224
33.8,0.002393513091051192
33.9,0.0028453497459945292
34.0,0.002649960922235248
34.1,0.002601113716295428
34.2,0.0028453497459945292
34.3,0.003162856584603361
34.4,0.002808714341539664
34.5,0.00308958577569363
34.6,0.0033093982024228214
34.7,0.0029918913638139898
34.8,0.0029918913638139898
34.9,0.003052950371238765
35.0,0.0033093982024228214
35.1,0.0033582454083626416
35.2,0.0032727627979679563
35.3,0.0031262211801484957
35.4,0.00308958577569363
35.5,0.002820926143024619
35.6,0.0029308323563892145
35.7,0.003052950371238765
35.8,0.0031384329816334508
35.9,0.00308958577569363
36.0,0.002833137944509574
36.1,0.003004103165298945
36.2,0.003407092614302462
36.3,0.0029308323563892145
36.4,0.002686596326690113
36.5,0.0029918913638139898
36.6,0.003004103165298945
36.7,0.002796502540054709
36.8,0.0032971864009378664
36.9,0.002833137944509574
37.0,0.0028575615474794843
37.1,0.0027354435326299334
37.2,0.00308958577569363
37.3,0.0028453497459945292
37.4,0.0023813012895662366
37.5,0.002772078937084799
37.6,0.0028819851504493944
37.7,0.0025766901133255178
37.8,0.0024667838999609224
37.9,0.0023813012895662366
38.0,0.0023446658851113715
38.1,0.0024667838999609224
38.2,0.002271395076201641
38.3,0.0021614888628370458
38.4,0.0019416764361078547
38.5,0.0019538882375928096
38.6,0.0020271590465025403
38.7,0.001795134818288394
38.8,0.0017340758108636185
38.9,0.002014947245017585
39.0,0.0019050410316529894
39.1,0.0016852286049237983
39.2,0.0016363813989839781
39.3,0.0015508987885892926
39.4,0.0016363813989839781
39.5,0.001379933567799922
39.6,0.0012456037514654162
39.7,0.0012333919499804612
39.8,0.0010868503321610004
39.9,0.001208968347010551
40.0,0.0010624267291910903
40.1,0.0009891559202813598
40.2,0.0009891559202813598
40.3,0.0010013677217663149
40.4,0.0008181906994919891
40.5,0.0008792497069167644
40.6,0.0008670379054318093
40.7,0.0008548261039468542
40.8,0.0007204962876123486
40.9,0.0008181906994919891
41.0,0.0006472254787026182
41.1,0.0006838608831574833
41.2,0.0005861664712778429
41.3,0.0004274130519734271
41.4,0.0004884720593982024
41.5,0.0004884720593982024
41.6,0.0003297186400937866
41.7,0.0002564478311840563
41.8,0.00030529503712387653
41.9,0.0003663540445486518
42.0,0.00030529503712387653
42.1,0.00034193044157874167
42.2,0.00030529503712387653
42.3,0.00020760062524423603
42.4,0.0001831770222743259
42.5,0.0001221180148495506
42.6,0.0001587534193044158
42.7,0.0002198124267291911
42.8,0.0002198124267291911
42.9,0.00013432981633450567
43.0,0.0001587534193044158
43.1,0.00017096522078937084
43.2,0.00013432981633450567
43.3,0.0001221180148495506
43.4,4.8847205939820246e-05
43.5,8.548261039468542e-05
43.6,4.8847205939820246e-05
43.7,9.769441187964049e-05
43.8,6.10590074247753e-05
43.9,0.0001221180148495506
44.0,9.769441187964049e-05
44.1,6.10590074247753e-05
44.2,8.548261039468542e-05
44.3,2.4423602969910123e-05
44.4,7.327080890973036e-05
44.5,1.2211801484955061e-05
44.6,3.663540445486518e-05
44.7,6.10590074247753e-05
44.8,6.10590074247753e-05
44.9,3.663540445486518e-05
45.0,3.663540445486518e-05
45.1,2.4423602969910123e-05
45.2,2.4423602969910123e-05
45.3,7.327080890973036e-05
45.4,3.663540445486518e-05
45.5,2.4423602969910123e-05
45.6,6.10590074247753e-05
45.7,3.663540445486518e-05
45.8,3.663540445486518e-05
45.9,2.4423602969910123e-05
46.0,4.8847205939820246e-05
46.1,3.663540445486518e-05
46.2,4.8847205939820246e-05
46.3,1.2211801484955061e-05
46.4,2.4423602969910123e-05
46.5,1.2211801484955061e-05
46.6,3.663540445486518e-05
46.7,1.2211801484955061e-05
46.8,2.4423602969910123e-05
46.9,6.10590074247753e-05
47.1,1.2211801484955061e-05
47.2,1.2211801484955061e-05
47.3,6.10590074247753e-05
47.4,2.4423602969910123e-05
47.5,3.663540445486518e-05
47.6,1.2211801484955061e-05
47.7,2.4423602969910123e-05
47.8,7.327080890973036e-05
47.9,2.4423602969910123e-05
48.0,3.663540445486518e-05
48.1,3.663540445486518e-05
48.2,2.4423602969910123e-05
48.3,4.8847205939820246e-05
48.4,4.8847205939820246e-05
48.5,3.663540445486518e-05
48.6,4.8847205939820246e-05
48.7,4.8847205939820246e-05
48.8,2.4423602969910123e-05
48.9,3.663540445486518e-05
49.0,7.327080890973036e-05
49.1,1.2211801484955061e-05
49.2,7.327080890973036e-05
49.3,6.10590074247753e-05
49.4,1.2211801484955061e-05
49.5,6.10590074247753e-05
49.6,9.769441187964049e-05
49.7,6.10590074247753e-05
49.8,1.2211801484955061e-05
49.9,6.10590074247753e-05
50.0,3.663540445486518e-05
50.1,6.10590074247753e-05
50.2,4.8847205939820246e-05
50.3,8.548261039468542e-05
50.4,4.8847205939820246e-05
50.5,2.4423602969910123e-05
50.6,9.769441187964049e-05
50.7,6.10590074247753e-05
50.8,6.10590074247753e-05
50.9,4.8847205939820246e-05
51.0,7.327080890973036e-05
51.1,6.10590074247753e-05
