synthetic_log,fitness,hellinger_event_distribution,earth_mover_distance_length_distribution,earth_mover_distance_trace_variant
real,0.9618234754293531,0.0,0.0,0.0
no_petri_net_run1,0.7753768000186396,0.11497696682447966,2.0245226039671422,0.42217014520299917
no_petri_net_run2,0.777555008457472,0.11339859276568728,2.123553529728143,0.4180656343479992
no_petri_net_run3,0.7793304740789027,0.11144205583356089,2.290187750097142,0.41567137478899924
no_petri_net_run4,0.7829009259544604,0.11341415434543771,2.3073359925661836,0.4122748905609992
no_petri_net_run5,0.7821952666711389,0.11264101591921291,2.420679641898142,0.40962534180899923
transition_list_run1,0.8715252644915864,0.10300988419038894,2.885449186053142,0.36952112778499974
transition_list_run2,0.8697110567918965,0.10259108002240791,2.8854559277181826,0.3686732493739996
transition_list_run3,0.8710505711883494,0.0991052835945435,2.989251939333122,0.3670606045179996
transition_list_run4,0.8698687076010325,0.09905048967078675,3.021637611538142,0.36501666793199977
transition_list_run5,0.8703231205040123,0.10281174168392519,2.8330698697771424,0.3716297825569998
petrinet_playout_run1,1.0,0.07949432214896597,3.7730668269841208,0.4768892621249982
petrinet_playout_run2,1.0,0.08296780463371241,3.885451847732183,0.46690861393799854
petrinet_playout_run3,1.0,0.08077692830618047,3.723561316202183,0.46384316477799836
petrinet_playout_run4,1.0,0.07970597135687865,3.7568849296161417,0.47229182493999844
petrinet_playout_run5,1.0,0.08195080747452174,3.777844175560121,0.4732084346339985
