synthetic_log,fitness,hellinger_distance_event_distribution,earth_mover_distance_length_distribution,earth_mover_distance_trace_variant
real,0.9618234754293531,0.0,0.0,0.0
no_petri_net_run1,0.7753768000186396,0.11497696682447966,1.8952380952381,0.014920725396820945
no_petri_net_run2,0.777555008457472,0.11339859276568728,1.9961904761904812,0.026666687619054275
no_petri_net_run3,0.7793304740789027,0.11144205583356089,2.1552380952381043,0.01555563746031523
no_petri_net_run4,0.7829009259544604,0.11341415434543771,2.174285714285719,0.014285814285714281
no_petri_net_run5,0.7821952666711389,0.11264101591921291,2.288571428571436,0.01619055619047618
transition_list_run1,0.8715252644915864,0.10300988419038894,2.7561904761904743,0.025079372698403803
transition_list_run2,0.8697110567918965,0.10259108002240791,2.730476190476185,0.011746087936512372
transition_list_run3,0.8710505711883494,0.0991052835945435,2.861904761904764,0.025079372698403803
transition_list_run4,0.8698687076010325,0.09905048967078675,2.8695238095238054,0.011428632380959041
transition_list_run5,0.8703231205040123,0.10281174168392519,2.704761904761907,0.025079372698403803
petrinet_playout_run1,1.0,0.07949432214896597,3.6133333333333337,0.030237900952380988
petrinet_playout_run2,1.0,0.08296780463371241,3.725714285714286,0.09638153142857163
petrinet_playout_run3,1.0,0.08077692830618047,3.56380952380952,0.030237900952380988
petrinet_playout_run4,1.0,0.07970597135687865,3.5971428571428534,0.10971374476190499
petrinet_playout_run5,1.0,0.08195080747452174,3.619047619047616,0.015873033968256175
